product_name,price,weight,category
M&S 6 Sweet Pancakes,£2.75,375g,best-of-fresh-294566
N/A,£2.90,750g,best-of-fresh-294566
M&S Cod Fillets Skinless & Boneless,£5.25,250g,best-of-fresh-294566
M&S Select Farms Red Gem Lettuce,£1.40,,best-of-fresh-294566
M&S Butchers 8 Pork Sausages,£2.60,454g,best-of-fresh-294566
M&S Select Farms Lamb Mince 20% Fat,£5.50,400g,best-of-fresh-294566
M&S Celery Sticks,£1.35,350g,best-of-fresh-294566
M&S Organic Full Fat Soft Cheese,£2.25,250g,best-of-fresh-294566
M&S Oakham Gold Medium Whole Chicken,£7,1.2kg,best-of-fresh-294566
M&S Organic Vine Ripened Rosa Tomatoes,£2.40,375g,best-of-fresh-294566
M&S Select Farms British Rump Steak,£4.75,222g,best-of-fresh-294566
M&S Heritage Gold British Pork Mince 5% Fat,£4,500g,best-of-fresh-294566
M&S Traditional Coleslaw,£1,180g,best-of-fresh-294566
M&S Organic Red Onions,£1.50,500g,best-of-fresh-294566
M&S Oakham Gold Chicken Breast Fillets,£14.50,1.5kg,best-of-fresh-294566
Cook With M&S Chunky Mediterranean Style Veg Mix,£3,550g,best-of-fresh-294566
M&S Oakham Gold Less Than 5% Fat Chicken Mince,£4,500g,best-of-fresh-294566
M&S Granny Smith Apples,£1.80,4 per pack,best-of-fresh-294566
M&S Sliced Jarlsberg Cheese 10 Slices,£3.20,200g,best-of-fresh-294566
M&S Mixed Romano Pointed Peppers,£2.75,3 per pack,best-of-fresh-294566
M&S Heritage Gold British Pork Loin Medallions,£4.75,300g,best-of-fresh-294566
M&S Capella Combo Tomatoes,£3,220g,best-of-fresh-294566
M&S Cherry Vine Tomatoes,£4,360g,best-of-fresh-294566
M&S Sliced Edam Cheese 10 Slices,£3.10,250g,best-of-fresh-294566
Cook With M&S Large Basil,£1.50,100g,best-of-fresh-294566
M&S British Basil Pot,£1.70,,best-of-fresh-294566
M&S Mixed Radish,£1,150g,best-of-fresh-294566
M&S Spanish Diced Chorizo,£3,2 x 65g,best-of-fresh-294566
M&S 2 Bramley Apple Turnovers,£2.60,184g,best-of-fresh-294566
M&S Fruit Trifles,£3.10,3 x 135g,best-of-fresh-294566
M&S Select Farms British Beef Mince 12% Fat,£3.75,500g,best-of-fresh-294566
M&S Pomegranate Rubies,£3.90,350g,best-of-fresh-294566
M&S Santini Tomato Side Salad,£3.40,220g,best-of-fresh-294566
M&S Baby Mushrooms,£1.40,200g,best-of-fresh-294566
M&S Organic Medjool Dates with Stones,£2.90,180g,best-of-fresh-294566
M&S Tomato & Basil Sauce,£2,350g,best-of-fresh-294566
M&S British Extra Mature Grated Cheddar,£2.90,250g,best-of-fresh-294566
M&S Baby Leaf Greens,£1.50,200g,best-of-fresh-294566
M&S White Potatoes,£1.35,2kg,best-of-fresh-294566
M&S 2 Cod Fillet Fishcakes,£1.50,170g,best-of-fresh-294566
M&S Large Plum Cooking Tomatoes,£1.70,500g,best-of-fresh-294566
M&S Super Fruity Low Fat Live Yogurt Strawberry & Raspberry,70p,150g,best-of-fresh-294566
M&S 2 Scottish Poached Salmon Fillets,£6.50,160g,best-of-fresh-294566
M&S Figs Perfectly Ripe,£2.65,4 per pack,best-of-fresh-294566
M&S Select Farms Beef Mince 12% Fat,£5.25,750g,best-of-fresh-294566
M&S 4 Chocolate Eclairs,£2.30,175g,best-of-fresh-294566
M&S Raisin Snack Box,£1.50,10 x 14g,best-of-fresh-294566
M&S British Extra Thick Double Cream,£2,300ml,best-of-fresh-294566
M&S 2 Skinless & Boneless Salmon Fillets,£6,240g,best-of-fresh-294566
M&S Authentic Greek Yogurt 10% Fat,£1.25,200g,best-of-fresh-294566
M&S Baby Corn,£2.10,200g,best-of-fresh-294566
M&S Natural Cottage Cheese,£1.60,300g,best-of-fresh-294566
M&S British Medium Cheddar,£4,550g,best-of-fresh-294566
M&S British Mild Cheddar,£2.75,350g,best-of-fresh-294566
M&S 6 Large Sausage Rolls,£2.30,360g,best-of-fresh-294566
M&S British Purple Sprouting Broccoli,£2.25,200g,best-of-fresh-294566
M&S Half Roast Chicken,£4,450g,best-of-fresh-294566
M&S Oakham Gold Skin On Chicken Breast Fillets,£4.50,300g,best-of-fresh-294566
M&S British Mild Cheddar,£4,550g,best-of-fresh-294566
M&S Perfectly Ripe Plums,£3,4 per pack,best-of-fresh-294566
M&S Egg Custard Tarts,£2,4 per pack,best-of-fresh-294566
M&S British Single Cream,£1.40,300ml,best-of-fresh-294566
M&S Organic Main Crop Potatoes,£2.50,1.5kg,best-of-fresh-294566
M&S Select Farms British Lamb's Liver,£1.88,Typically: 250g,best-of-fresh-294566
M&S Cavolo Nero Washed & Ready to Cook,£1.40,125g,best-of-fresh-294566
Cook With M&S Large Mint,£1.50,100g,best-of-fresh-294566
M&S Taste Buds Little Pink Lady Apples,£1.90,4 per pack,best-of-fresh-294566
M&S Collection 2 Cod Loins,£7.27,Typically: 285g,best-of-fresh-294566
M&S Tempura Chicken Tenders,£4.75,300g,best-of-fresh-294566
Cook With M&S Green Chillies,65p,50g,best-of-fresh-294566
Cook With M&S Red Chillies,£1,75g,best-of-fresh-294566
M&S Perfectly Ripe Cantaloupe Melon,£2.65,,best-of-fresh-294566
M&S Natural Cashews,£5,350g,best-of-fresh-294566
M&S Honduran King Prawns,£4.25,165g,best-of-fresh-294566
M&S Italian Bresaola,£3.50,70g,best-of-fresh-294566
M&S Mixed Seeds Toppers,£2.50,200g,best-of-fresh-294566
M&S Echalion Shallots,£1.75,400g,best-of-fresh-294566
M&S British Single Cream,95p,150ml,best-of-fresh-294566
M&S Select Farms 21 Day Matured Sirloin Steak,£7,227g,best-of-fresh-294566
M&S Roast Chicken Thighs,£4,445g,best-of-fresh-294566
M&S Juicing Oranges,£2.80,1kg,best-of-fresh-294566
M&S Red Chicory,£1.50,140g,best-of-fresh-294566
M&S Seedless Grape Selection,£4,800g,best-of-fresh-294566
M&S Baby Peppers,£2,150g,best-of-fresh-294566
M&S Natural Cashew Nuts,£2.50,150g,best-of-fresh-294566
M&S Organic British Casserole Steak,£5,400g,best-of-fresh-294566
M&S Cherries,£3.20,200g,best-of-fresh-294566
M&S Select Farms British Free Range Corn Fed Mini Chicken Fillets,£5.17,Typically: 265g,best-of-fresh-294566
M&S Natural Live Yoghurt 0% Fat,£1.10,500g,best-of-fresh-294566
M&S Select Farms 24 Aberdeen Angus Beef Meatballs,£5.75,400g,best-of-fresh-294566
M&S Cook Menu Salmon with Soy & Ginger Dressing,£7.50,285g,best-of-fresh-294566
M&S Organic White Cabbage,£1.62,Typically: 850g,best-of-fresh-294566
M&S Butchers 12 Pork Chipolatas,£2.60,340g,best-of-fresh-294566
M&S Deli Style Coleslaw,£3.70,500g,best-of-fresh-294566
M&S Perfectly Ripe Honeydew Melon,£1.90,,best-of-fresh-294566
M&S  British Portobello Mushrooms,£2,250g,best-of-fresh-294566
M&S Collection Wild Pacific 2 Sockeye Salmon Fillets,£8,220g,best-of-fresh-294566
M&S Plant Kitchen Unsweetened Soya Drink,£1.80,1L,best-of-fresh-294566
M&S British Medium Cheddar,£2.75,350g,best-of-fresh-294566
N/A,£5.50,18 per pack,best-of-fresh-294566
M&S Scottish 2 Loch Trout Fillets,£5.25,220g,best-of-fresh-294566
M&S 2 Cream & Strawberry Jam Doughnuts,£2.60,148g,best-of-fresh-294566
M&S Organic Free Range Mini Chicken Fillets,£9.28,Typically: 275g,best-of-fresh-294566
M&S Select Farms Organic British Beef Mince 12% Fat,£6.25,500g,best-of-fresh-294566
M&S Maris Piper Potatoes,£1.80,1.5kg,best-of-fresh-294566
M&S Samphire,£2.20,90g,best-of-fresh-294566
M&S Seedless Black Grapes,£2.80,500g,best-of-fresh-294566
M&S Super Fruity Low Fat Black Cherry Live Yogurt,70p,150g,best-of-fresh-294566
M&S Select Farms British Minute Steak Extra Lean,£6,250g,best-of-fresh-294566
M&S 2 British Melton Mowbray Pork Pies,£1.80,150g,best-of-fresh-294566
M&S British Medium Grated Cheddar,£4.50,500g,best-of-fresh-294566
M&S 2 Mangoes Perfectly Ripe,£3,2 per pack,best-of-fresh-294566
M&S Boston Beans,£3.20,400g,best-of-fresh-294566
M&S British Sliced Ham,£4.25,300g,best-of-fresh-294566
M&S 2 Scottish Honey Roast Hot Smoked Salmon,£6.75,160g,best-of-fresh-294566
M&S British Wiltshire Cured Ham Family Pack,£4.50,200g,best-of-fresh-294566
M&S Collection Medjool Dates With Stones,£5.50,500g,best-of-fresh-294566
M&S Select Farms British Free Range Chicken Thighs,£5.04,Typically: 650g,best-of-fresh-294566
M&S Granny Smith Apples,£2,7 per pack,best-of-fresh-294566
Cook With M&S Garlic,90p,3 per pack,best-of-fresh-294566
M&S British Oyster Mushrooms,£2.25,150g,best-of-fresh-294566
M&S Celeriac,£1.65,,best-of-fresh-294566
M&S Greek Style Live Yogurt with Honey,£1.60,450g,best-of-fresh-294566
M&S Padron Peppers,£1.50,130g,best-of-fresh-294566
M&S British Lighter Mature Grated Cheddar,£2.90,250g,best-of-fresh-294566
M&S Cypriot Halloumi,£2.80,250g,best-of-fresh-294566
M&S Super Fruity Low Fat Live Yogurt Blackcurrant & Blueberry,70p,150g,best-of-fresh-294566
M&S 2 Mediterranean Seabass Fillets,£5,180g,best-of-fresh-294566
M&S 6 Buttermilk Pancakes,£2.50,240g,best-of-fresh-294566
M&S Organic Red Cabbage,£1.62,Typically: 850g,best-of-fresh-294566
M&S Organic Pink Lady Apples,£3.25,4 per pack,best-of-fresh-294566
M&S Select Farms Unsmoked Bacon Medallions Less than 5% Fat,£4,250g,best-of-fresh-294566
M&S Organic British Salted Butter,£3.25,250g,best-of-fresh-294566
M&S Select Farms 24 Mini British Beef Meatballs 3% Fat,£3.60,240g,best-of-fresh-294566
M&S Egg Custard Tarts,£1.40,2 per pack,best-of-fresh-294566
M&S Fresh Tagliatelle,£2.30,500g,best-of-fresh-294566
M&S Eat Now Eat Later Hass Avocados,£3.75,4 per pack,best-of-fresh-294566
M&S Limes,£1.60,5 per pack,best-of-fresh-294566
M&S Cheese & Onion Quiche,£2.40,170g,best-of-fresh-294566
M&S Small Butternut Squash,£1.50,,best-of-fresh-294566
M&S Greek Feta & Olive Side Salad,£2.65,160g,best-of-fresh-294566
M&S Organic Smoked Salmon,£6.50,100g,best-of-fresh-294566
M&S 4 Roast Chicken Breast Fillets,£8.50,480g,best-of-fresh-294566
M&S Collection West Country Cherry Yogurt,£1,150g,best-of-fresh-294566
M&S Sweet & Crunchy Pears,£2.50,4 per pack,best-of-fresh-294566
M&S 6 Mini British Melton Mowbray Pork Pies,£3.25,300g,best-of-fresh-294566
M&S Pressed Apple Juice with Elderflower,£2.25,1L,best-of-fresh-294566
M&S Authentic Greek 0% Yogurt with Cherry,£1,150g,best-of-fresh-294566
M&S British Whipping Cream,£1.55,300ml,best-of-fresh-294566
M&S Ripen At Home Hass Avocados,£2,4 per pack,best-of-fresh-294566
M&S Envy Apples,£2.25,4 per pack,best-of-fresh-294566
M&S Somerset Ripening Brie,£3,230g,best-of-fresh-294566
M&S Free Range Medium Eggs,£1.80,6 per pack,best-of-fresh-294566
M&S 4 Black Pudding Slices,£1.70,227g,best-of-fresh-294566
"M&S Carrot, Cauliflower & Broccoli",£2.25,500g,best-of-fresh-294566
M&S Natural Mixed Nuts,£9.50,750g,best-of-fresh-294566
M&S Organic Baby Corn,£1.50,125g,best-of-fresh-294566
M&S Organic Kiwi Fruit,£2.50,4 per pack,best-of-fresh-294566
M&S British Braeburn Apples,£1.70,4 per pack,best-of-fresh-294566
M&S Low Fat Greek Style Live Yoghurt,£1.10,500g,best-of-fresh-294566
M&S Creamy Brie,£2,200g,best-of-fresh-294566
M&S 2 British Pork & Egg Gala Pie Slices,£3.50,235g,best-of-fresh-294566
M&S Sausage Rolls,£2,6 per pack,best-of-fresh-294566
M&S Select Farms British 12 Beef Meatballs,£3.50,300g,best-of-fresh-294566
M&S Whole Roast Chicken,£8,1.1kg,best-of-fresh-294566
M&S Chicory,£1.95,250g,best-of-fresh-294566
M&S Swiss Chard,£1.95,200g,best-of-fresh-294566
M&S Devonshire Luxury Strawberry Yogurt,£1,125g,best-of-fresh-294566
M&S Red Leicester,£3.60,300g,best-of-fresh-294566
M&S Our Best Ever Trifle,£3,150g,best-of-fresh-294566
"M&S Layered Peas, Carrots, Sweetcorn & Broccoli",£2.50,355g,best-of-fresh-294566
M&S Prawn Layered Salad,£3.10,220g,best-of-fresh-294566
M&S Heritage Gold British 4 Pork Shoulder Steaks,£5.25,664g,best-of-fresh-294566
M&S Select Farms British 10 Unsmoked Back Bacon Rashers,£2.75,300g,best-of-fresh-294566
M&S Young Garden Peas,£2.10,200g,best-of-fresh-294566
M&S Cornish Cruncher Extra Mature Cheddar Cheese,£5,300g,best-of-fresh-294566
M&S 2 Haddock Fillet Fishcakes,£1.50,170g,best-of-fresh-294566
M&S Organic Gala Apples,£2.25,4 per pack,best-of-fresh-294566
M&S Oakham Gold Extra Large Whole Chicken,£11,1.9kg,best-of-fresh-294566
M&S Chargrilled Chicken Caesar Salad,£5,235g,best-of-fresh-294566
M&S British Turkey Thigh Mince 8% Fat,£4.50,500g,best-of-fresh-294566
M&S Perfectly Ripe White Nectarines,£3,4 per pack,best-of-fresh-294566
M&S Organic Free Range Medium Eggs,£3,6 per pack,best-of-fresh-294566
M&S Sweet Rosa Verde Salad,£4,290g,best-of-fresh-294566
M&S Heritage Gold British Pork Chops Thick Cut,£5.50,550g,best-of-fresh-294566
M&S Organic Claret Vine Tomatoes,£2.50,225g,best-of-fresh-294566
M&S Piel De Sapo Melon Perfectly Ripe,£2.75,,best-of-fresh-294566
M&S Scottish Oak Smoked Salmon Ribbons,£2.65,50g,best-of-fresh-294566
M&S Small Conference Pears Ripen at Home,£1.90,5 per pack,best-of-fresh-294566
M&S Dolce Romana,£1.55,2 per pack,best-of-fresh-294566
M&S Organic Brown Onions,£1.70,750g,best-of-fresh-294566
M&S Scottish Honey Roast Salmon Pasta Salad,£2.90,205g,best-of-fresh-294566
M&S Organic British 12 Free Range Mixed Size Eggs,£5.50,12 per pack,best-of-fresh-294566
M&S Roasted Nut Selection,£5.50,350g,best-of-fresh-294566
M&S Collection Cotton Candy Grapes,£3.20,400g,best-of-fresh-294566
M&S 2 Lightly Smoked Salmon Fillets,£8,240g,best-of-fresh-294566
M&S Select Farms Free Range Chicken Thighs Skinless & Boneless,£7,Typically: 400g,best-of-fresh-294566
N/A,£3,4 per pack,best-of-fresh-294566
M&S Low Fat Live Natural Yoghurt,£1.10,500g,best-of-fresh-294566
M&S Select Farms British 10 Smoked Back Bacon Rashers,£2.75,300g,best-of-fresh-294566
M&S Organic Grapes,£3,400g,best-of-fresh-294566
M&S Scottish Salmon Fillet Joint Skin On,£12.50,500g,best-of-fresh-294566
M&S Tex Mex Dip Selection,£3.80,428g,best-of-fresh-294566
M&S Extra Fine Asparagus,£2.25,110g,best-of-fresh-294566
"M&S Carrot, Cauliflower & Broccoli",£1.30,240g,best-of-fresh-294566
M&S Select Farms Smoked Bacon Medallions Less than 5% Fat,£4,250g,best-of-fresh-294566
M&S Trinity Gold Potatoes,£1.75,1.5kg,best-of-fresh-294566
M&S British Lighter Mature Cheddar,£2.75,350g,best-of-fresh-294566
M&S Organic Butternut Squash,£2,,best-of-fresh-294566
M&S Broccoli Florets,£1.65,240g,best-of-fresh-294566
M&S Ready Rolled Puff Pastry,£1.85,320g,best-of-fresh-294566
M&S Organic Cauliflower,£2.10,,best-of-fresh-294566
Cook With M&S Hot Mixed Chillies,£1,30g,best-of-fresh-294566
M&S Golden Delicious Apples,£1.80,4 per pack,best-of-fresh-294566
M&S Mango & Passion Fruit High Protein Yogurt,£1.25,200g,best-of-fresh-294566
M&S Organic Leeks,£2.20,400g,best-of-fresh-294566
M&S Organic Salad Potatoes,£2.10,750g,best-of-fresh-294566
M&S Honduran Raw King Prawns Extra Large Frozen,£5,200g,best-of-fresh-294566
M&S Select Farms British 10 Pigs in Blankets,£4.25,240g,best-of-fresh-294566
M&S Traditional Stringless Runner Beans,£3.20,320g,best-of-fresh-294566
M&S Natural Mixed Nuts,£5,350g,best-of-fresh-294566
M&S Natural Pecans,£2.50,100g,best-of-fresh-294566
M&S Bramley Apple Crumbles,£3.30,2 x 145g,best-of-fresh-294566
"M&S Broccoli, Cheese & Tomato Quiche",£2.40,170g,best-of-fresh-294566
M&S Green Vegetable Medley with Lemon & Herb Butter,£3.20,300g,best-of-fresh-294566
M&S British Extra Mature Cheddar,£2.75,350g,best-of-fresh-294566
M&S Strawberry High Protein Yogurt,£1.25,200g,best-of-fresh-294566
M&S Select Farms Oranges,£1.50,5 per pack,best-of-fresh-294566
M&S Coronation Coleslaw,£2.50,300g,best-of-fresh-294566
M&S Organic Free Range Chicken Legs,£6.33,Typically: 600g,best-of-fresh-294566
M&S 4 Greek Style Live Yogurts with Honey,£1.80,4 x 125g,best-of-fresh-294566
M&S Fresh Simply Steamed Beetroot,£1.65,330g,best-of-fresh-294566
M&S Collection Arlintia Tomatoes,£2.75,270g,best-of-fresh-294566
Cook With M&S Diced Onions,£1.30,400g,best-of-fresh-294566
M&S Baby Corn & Sugar Snap Peas,£2.25,200g,best-of-fresh-294566
M&S Greek Salad,£2.75,200g,best-of-fresh-294566
M&S Pak Choi,£1.75,250g,best-of-fresh-294566
M&S Stringless Helda Beans,£2.20,285g,best-of-fresh-294566
M&S Perfectly Ripe Extra Large Hass Avocado,£1.80,,best-of-fresh-294566
M&S British Baby Parsnips,£1.90,300g,best-of-fresh-294566
M&S Deli Style Coleslaw & Baby Charlotte Potato Salad Twinpack,£3.50,500g,best-of-fresh-294566
M&S Softer Butter,£5,500g,best-of-fresh-294566
M&S Oak & Beechwood Scottish Smoked Peppered Mackerel,£4.75,150g,best-of-fresh-294566
M&S Vanilla High Protein Yogurt,£1.25,200g,best-of-fresh-294566
M&S 10 Mozzarella Slices,£3,250g,best-of-fresh-294566
M&S Chunky Chips,£3,400g,best-of-fresh-294566
M&S Organic Walnuts,£3.75,150g,best-of-fresh-294566
M&S 30 Month Parmigiano Reggiano,£4.75,200g,best-of-fresh-294566
M&S Sponge Puddings with Morello Cherry & Blueberry,£3.30,2 x 100g,best-of-fresh-294566
M&S Clotted Cream Rice Pudding Pots,£3.30,2 x 170g,best-of-fresh-294566
M&S Crisp & Crunchy Celery Hearts,£1.85,2 per pack,best-of-fresh-294566
M&S Edamame Beans,£2,160g,best-of-fresh-294566
M&S Rainbow Fruit Salad,£3.65,300g,best-of-fresh-294566
M&S Mature Blue Stilton,£3.75,236g,best-of-fresh-294566
M&S Authentic Greek 0% Yogurt with Honey,£1,150g,best-of-fresh-294566
M&S Layered Super Green Vegetables with Mint Butter,£3.20,275g,best-of-fresh-294566
M&S Zesty Guacamole Dip,£1.90,200g,best-of-fresh-294566
M&S Norwegian 2 Undyed Smoked Haddock Fillets,£5.50,230g,best-of-fresh-294566
Cook With M&S Jalapeno Chillies,£1,65g,best-of-fresh-294566
M&S Sweet Rosa Verde Side Salad,£3.20,160g,best-of-fresh-294566
M&S Butchers 8 Cumberland Pork Sausages,£2.60,454g,best-of-fresh-294566
M&S Collection Mixed Exotic Mushrooms,£2.50,200g,best-of-fresh-294566
M&S Select Farms Diced British Beef,£6.50,500g,best-of-fresh-294566
M&S Roasted Hazelnut Low Fat Yoghurt,70p,150g,best-of-fresh-294566
M&S Chef's Style Carrots,£1,100g,best-of-fresh-294566
M&S Butchers 8 Pork Sausages,£1.90,454g,best-of-fresh-294566
M&S Greek Lighter Salad Cheese,£2,200g,best-of-fresh-294566
M&S Traditional Potato Salad,£1.30,300g,best-of-fresh-294566
M&S Soft Eating Prunes,£5.50,400g,best-of-fresh-294566
M&S Devonshire Luxury Lemon Curd Yogurt,£1,125g,best-of-fresh-294566
M&S Authentic Greek Yogurt 0% Fat,£1.25,200g,best-of-fresh-294566
M&S Organic Sweet Potatoes,£2.65,700g,best-of-fresh-294566
M&S British Katsu Chicken Tenders,£4.75,300g,best-of-fresh-294566
M&S Cornish Cruncher Extra Mature Cheddar Cheese,£7.50,500g,best-of-fresh-294566
M&S Carrot Broccoli & Sprouts,£2.25,500g,best-of-fresh-294566
M&S Select Farms 4 British Beef Burgers 3% Fat,£5.50,400g,best-of-fresh-294566
M&S Free Range 6 Golden Yolk Eggs,£2.75,6 per pack,best-of-fresh-294566
M&S Authentic Greek 0% Yogurt with Peach,£1,150g,best-of-fresh-294566
M&S Select Farms Outdoor Bred 6 Dry Cured Smoked Back Bacon Rashers,£4,220g,best-of-fresh-294566
M&S Baby Leaf Salad Washed & Ready to Eat,£1.60,80g,best-of-fresh-294566
M&S Hot Smoked Scottish Mackerel,£4.75,150g,best-of-fresh-294566
M&S Watermelon Chunks,£4.50,600g,best-of-fresh-294566
M&S Collection Cornish Gold Butter with Sea Salt,£3.60,250g,best-of-fresh-294566
M&S Collection Luxury Cherry Yogurt,£1,125g,best-of-fresh-294566
M&S Organic 3 British Chicken Thigh Fillets,£9.60,Typically: 400g,best-of-fresh-294566
M&S Chocolate Sponge Puddings,£3.30,2 x 105g,best-of-fresh-294566
M&S 2 Smoked Haddock Fishcakes Melt in the Middle,£4.50,290g,best-of-fresh-294566
M&S Bavarian Smoked Cheese 10 Slices,£3.25,200g,best-of-fresh-294566
M&S Custard,£2.50,500g,best-of-fresh-294566
M&S Mini Colin The Caterpillar Cakes,£3.75,5 per pack,best-of-fresh-294566
M&S 2 Breaded Chunky Cod Fillets,£4.75,360g,best-of-fresh-294566
M&S Dried Soft Apricots,£4.25,400g,best-of-fresh-294566
M&S British Free Range Pork Fillet,£6.19,Typically: 450g,best-of-fresh-294566
M&S Organic Snacking Tomatoes,£2.50,250g,best-of-fresh-294566
M&S Melt in the Middle Cod Fillet Fishcakes,£4.50,290g,best-of-fresh-294566
N/A,£5.50,250g,best-of-fresh-294566
M&S West Country Gooseberry Fruit Fool,95p,114g,best-of-fresh-294566
M&S British Mild Cheddar 10 Slices,£2.90,250g,best-of-fresh-294566
M&S BBQ Chicken Flatties with BBQ Sauce,£5,370g,best-of-fresh-294566
M&S Strawberry Compote Trifle,£2.30,150g,best-of-fresh-294566
M&S Speciality Potatoes,£1.90,1.5kg,best-of-fresh-294566
M&S Syrup Sponge Puddings,£3.30,2 x 105g,best-of-fresh-294566
M&S 4 Speciality Baking Potatoes,£2.25,4 per pack,best-of-fresh-294566
M&S British Smitten Apples,£2,4 per pack,best-of-fresh-294566
M&S Orange Melon Chunks,£3.90,350g,best-of-fresh-294566
M&S Organic British Mature Cheddar,£5,350g,best-of-fresh-294566
M&S Red Potatoes,£2.50,2.5kg,best-of-fresh-294566
M&S Fillet Steak,£10,190g,best-of-fresh-294566
M&S Reduced Fat Olive Oil Spread,£1.50,500g,best-of-fresh-294566
M&S Tomato Ketchup Reduced Sugar,£1,495g,best-of-fresh-294566
M&S Baby Leaf Salad,£2.20,140g,best-of-fresh-294566
M&S Lemons,£1.50,5 per pack,best-of-fresh-294566
M&S Double Gloucester,£3.50,300g,best-of-fresh-294566
M&S British Garlic Sausage 10 Slices,£1.80,113g,best-of-fresh-294566
M&S Bread & Butter Puddings,£3.30,2 x 130g,best-of-fresh-294566
Cook With M&S Oregano,75p,15g,best-of-fresh-294566
M&S Rhubarb Crumbles,£3.30,2 x 145g,best-of-fresh-294566
M&S Smoked Salmon Pate,£2.25,115g,best-of-fresh-294566
M&S Labneh Yoghurt Dip With a Herb Dressing,£2.75,170g,best-of-fresh-294566
M&S British Lighter Mature Cheddar 10 Slices,£2.90,250g,best-of-fresh-294566
M&S Select Farms 21 Day Matured British Ribeye Steak,£6.75,210g,best-of-fresh-294566
M&S Light Cypriot Grilling Cheese,£2.80,250g,best-of-fresh-294566
M&S Beer Battered Haddock Fillets,£6.25,380g,best-of-fresh-294566
M&S Plant Kitchen Vegan Coleslaw,£2.25,300g,best-of-fresh-294566
M&S Parmigiano Reggiano Parmesan,£3.70,175g,best-of-fresh-294566
M&S Seafood Sticks,£1.30,250g,best-of-fresh-294566
M&S Quiche Lorraine,£2.40,170g,best-of-fresh-294566
M&S Reduced Fat Natural Cottage Cheese,£1.60,300g,best-of-fresh-294566
M&S Select Farms British Free Range Minced Pork 8% Fat,£4.25,500g,best-of-fresh-294566
M&S Marinated King Prawns with Dried Tomatoes & Basil,£3.90,135g,best-of-fresh-294566
M&S Beetroot & Carrot,£2,180g,best-of-fresh-294566
M&S Cantaloupe Melon Fingers,£4.25,500g,best-of-fresh-294566
M&S Mackerel Pate,£2.25,115g,best-of-fresh-294566
M&S San Marzano Tomatoes,£2.50,400g,best-of-fresh-294566
M&S Grated Parmigiano Reggiano,£3.50,100g,best-of-fresh-294566
M&S Comte Cheese,£5.25,200g,best-of-fresh-294566
M&S 10 Red Leicester Slices,£3,250g,best-of-fresh-294566
M&S Naked Chicken Kebab Salad,£5.75,310g,best-of-fresh-294566
M&S Raspberry Jelly Trifle,£2.30,150g,best-of-fresh-294566
M&S Tiramisu Twin Pack,£3,2 x 100g,best-of-fresh-294566
M&S Lemon & Pepper Oak Smoked Salmon,£5.50,100g,best-of-fresh-294566
M&S Prepped Baby Sprouts,£1.20,80g,best-of-fresh-294566
M&S Pitted Kalamata Olives,£4,180g,best-of-fresh-294566
M&S British Ready To Cook Rotisserie Chicken Joint & Marinade,£7.50,490g,best-of-fresh-294566
M&S Bramley Apple Pie,£4.25,485g,best-of-fresh-294566
M&S Lightly Salted Spreadable Butter,£2.30,250g,best-of-fresh-294566
M&S Aberdeen Angus Sirloin Steak,£8.25,227g,best-of-fresh-294566
M&S Luxury Sherry Trifle,£2.30,150g,best-of-fresh-294566
M&S Natural Hazelnuts,£3,150g,best-of-fresh-294566
M&S Spanish Garlic Rope,£2.90,,best-of-fresh-294566
M&S British Roast Chicken Fillet,£2.75,125g,best-of-fresh-294566
M&S Cranberry Wensleydale,£3,200g,best-of-fresh-294566
M&S Collection Creamy Greek Yogurt Tzatziki,£2.75,170g,best-of-fresh-294566
M&S Tuna Nicoise Salad,£4.50,310g,best-of-fresh-294566
M&S Select Farms Aberdeen Angus Beef Mince 12% Fat,£6.50,500g,best-of-fresh-294566
M&S Perfectly Ripe Galia Melon,£2.10,,best-of-fresh-294566
M&S Cottage Cheese with Pineapple,£1.60,300g,best-of-fresh-294566
M&S Select Farms British 2 Duck Breast Portions,£5.25,265g,best-of-fresh-294566
M&S Raspberry Jelly,£1.75,175g,best-of-fresh-294566
M&S 2 Select Farms British Outdoor Bred Gammon Steaks Unsmoked,£5.50,400g,best-of-fresh-294566
M&S Italian Style Peppery Baby Leaf Salad,£2.30,140g,best-of-fresh-294566
M&S Jarlsberg Cheese,£3.40,230g,best-of-fresh-294566
M&S Italian Lighter Mozzarella,£2,125g,best-of-fresh-294566
M&S Natural Shelled Pistachios,£4,150g,best-of-fresh-294566
M&S Barrel Aged Greek Feta,£4,200g,best-of-fresh-294566
M&S Lemon & Limes,£1.75,6 per pack,best-of-fresh-294566
M&S Passion Fruit Perfectly Ripe,£2.50,2 per pack,best-of-fresh-294566
M&S 6 Breaded Jumbo Cod Fish Fingers Frozen,£4.75,440g,best-of-fresh-294566
M&S 2 Custard Choux Buns,£3.10,205g,best-of-fresh-294566
M&S 2 Vanilla Slices,£2.20,206g,best-of-fresh-294566
"M&S Gouda Cheese, Chorizo & Salami Sandwich Selection",£2.75,100g,best-of-fresh-294566
M&S Passion Fruit,£1.50,3 per pack,best-of-fresh-294566
M&S Collection Dry Cured Smoked Bacon Lardons,£3.75,150g,best-of-fresh-294566
"M&S Carrot, Broccoli, Potatoes & Courgettes with Seasoned Butter",£3.50,315g,best-of-fresh-294566
M&S Heritage Gold Pork Belly Strips,£5.25,480g,best-of-fresh-294566
